"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2023","296.63","295.95","298.08","292.73","21.70M","0.77%"
"07/05/2023","294.37","287.65","298.12","286.36","33.54M","2.92%"
"07/03/2023","286.02","286.65","289.31","284.85","8.63M","-0.33%"
"06/30/2023","286.98","284.76","289.05","284.42","19.69M","1.94%"
"06/29/2023","281.53","284.50","286.57","280.69","15.40M","-1.32%"
"06/28/2023","285.29","284.82","289.55","284.06","16.58M","-0.61%"
"06/27/2023","287.05","282.01","289.35","280.65","25.81M","3.08%"
"06/26/2023","278.47","288.70","289.79","277.60","23.95M","-3.55%"
"06/23/2023","288.73","281.51","289.67","278.95","51.09M","1.35%"
"06/22/2023","284.88","279.08","285.26","277.79","17.27M","1.15%"
"06/21/2023","281.64","283.53","284.00","278.36","19.92M","-0.95%"
"06/20/2023","284.33","278.73","284.80","276.22","20.53M","1.19%"
"06/16/2023","281.00","284.75","287.85","280.13","43.13M","-0.29%"
"06/15/2023","281.83","272.30","283.99","271.42","25.85M","3.10%"
"06/14/2023","273.35","271.89","274.99","268.32","19.18M","0.75%"
"06/13/2023","271.32","274.88","275.72","269.09","16.09M","0.10%"
"06/12/2023","271.05","267.17","271.75","265.33","15.38M","2.30%"
"06/09/2023","264.95","262.48","267.95","261.70","16.95M","0.14%"
"06/08/2023","264.58","260.62","267.65","258.88","20.90M","0.37%"
"06/07/2023","263.60","271.67","274.25","262.80","26.16M","-2.77%"
"06/06/2023","271.12","270.14","276.57","269.69","19.26M","-0.10%"
"06/05/2023","271.39","270.30","275.57","269.56","20.57M","-0.45%"
"06/02/2023","272.61","272.66","275.35","271.12","19.35M","0.00%"
"06/01/2023","272.61","265.90","274.00","265.89","25.28M","2.98%"
"05/31/2023","264.72","260.00","265.00","258.45","25.37M","0.84%"
"05/30/2023","262.52","265.25","268.65","261.29","23.69M","0.18%"
"05/26/2023","262.04","252.93","262.31","252.71","25.77M","3.70%"
"05/25/2023","252.69","253.40","255.62","249.17","21.99M","1.40%"
"05/24/2023","249.21","245.28","249.59","244.95","17.32M","1.00%"
"05/23/2023","246.74","246.81","251.61","246.65","17.67M","-0.64%"
"05/22/2023","248.32","245.41","253.57","245.12","27.49M","1.09%"
"05/19/2023","245.64","247.47","248.69","243.41","21.73M","-0.49%"
"05/18/2023","246.85","241.30","247.09","241.19","22.81M","1.80%"
"05/17/2023","242.49","238.45","243.84","238.14","21.14M","1.53%"
"05/16/2023","238.82","235.79","239.63","235.52","18.11M","-0.02%"
"05/15/2023","238.86","236.92","240.26","235.33","20.65M","2.16%"
"05/12/2023","233.81","236.74","236.96","231.45","16.14M","-0.84%"
"05/11/2023","235.79","233.05","238.21","232.30","20.38M","1.16%"
"05/10/2023","233.08","236.17","236.75","230.72","18.70M","-0.12%"
"05/09/2023","233.37","231.46","235.88","231.08","16.83M","0.04%"
"05/08/2023","233.27","231.41","235.62","230.27","14.95M","0.21%"
"05/05/2023","232.78","232.24","234.68","229.85","26.91M","-0.32%"
"05/04/2023","233.52","236.06","238.20","232.93","17.79M","-1.48%"
"05/03/2023","237.03","239.47","241.75","232.75","33.95M","-0.92%"
"05/02/2023","239.24","243.18","244.92","238.99","23.17M","-1.62%"
"05/01/2023","243.18","238.62","244.00","236.46","29.14M","1.19%"
"04/28/2023","240.32","239.01","240.43","235.75","39.18M","0.74%"
"04/27/2023","238.56","239.89","241.68","236.77","70.79M","13.93%"
"04/26/2023","209.40","212.50","214.11","208.88","35.22M","0.89%"
"04/25/2023","207.55","210.82","211.26","207.13","18.61M","-2.46%"
"04/24/2023","212.79","213.68","213.92","210.71","15.75M","-0.05%"
"04/21/2023","212.89","210.21","213.41","209.58","17.67M","-0.08%"
"04/20/2023","213.07","213.48","216.75","212.77","16.43M","-1.22%"
"04/19/2023","215.70","213.47","217.33","212.93","15.90M","-1.01%"
"04/18/2023","217.89","219.91","220.44","216.21","12.21M","-0.44%"
"04/17/2023","218.86","219.79","220.98","217.13","15.41M","-1.19%"
"04/14/2023","221.49","217.88","222.11","217.55","21.59M","0.52%"
"04/13/2023","220.35","215.73","221.15","215.69","23.23M","2.97%"
"04/12/2023","214.00","214.84","216.84","212.58","18.97M","0.07%"
"04/11/2023","213.85","215.48","216.02","213.41","16.35M","-0.42%"
"04/10/2023","214.75","214.71","215.66","210.66","15.84M","-0.62%"
"04/06/2023","216.10","209.25","216.94","208.65","26.10M","2.18%"
"04/05/2023","211.48","214.15","215.19","209.94","19.33M","-1.51%"
"04/04/2023","214.72","213.39","216.24","212.54","20.98M","0.77%"
"04/03/2023","213.07","208.84","213.49","208.20","17.89M","0.53%"
"03/31/2023","211.94","207.24","212.17","206.77","25.39M","1.97%"
"03/30/2023","207.84","203.38","208.09","202.82","22.55M","1.21%"
"03/29/2023","205.35","203.56","205.72","202.54","18.85M","2.33%"
"03/28/2023","200.68","200.15","201.03","197.90","19.09M","-1.06%"
"03/27/2023","202.84","204.81","205.86","201.36","18.45M","-1.54%"
"03/24/2023","206.01","205.18","207.58","203.55","27.73M","0.85%"
"03/23/2023","204.28","202.84","207.88","202.15","27.17M","2.24%"
"03/22/2023","199.81","202.50","207.37","199.67","28.04M","-1.16%"
"03/21/2023","202.16","203.20","203.55","197.95","31.48M","2.20%"
"03/20/2023","197.81","198.48","199.36","193.64","25.14M","1.12%"
"03/17/2023","195.61","200.56","201.90","195.43","50.14M","-4.55%"
"03/16/2023","204.93","198.26","205.76","196.09","50.82M","3.63%"
"03/15/2023","197.75","192.95","197.78","190.84","42.12M","1.92%"
"03/14/2023","194.02","187.58","194.32","186.56","41.02M","7.25%"
"03/13/2023","180.90","177.96","183.78","174.82","24.68M","0.77%"
"03/10/2023","179.51","181.01","184.77","178.80","25.67M","-1.20%"
"03/09/2023","181.69","186.35","188.93","180.30","26.51M","-1.77%"
"03/08/2023","184.97","182.87","185.26","181.34","19.43M","0.25%"
"03/07/2023","184.51","189.00","190.36","184.01","36.70M","-0.21%"
"03/06/2023","184.90","188.00","189.66","184.64","33.21M","-0.19%"
"03/03/2023","185.25","178.92","186.62","177.05","43.85M","6.14%"
"03/02/2023","174.53","172.38","175.01","171.43","17.33M","0.64%"
"03/01/2023","173.42","174.59","177.85","173.05","29.18M","-0.87%"
"02/28/2023","174.94","171.90","177.55","171.87","46.05M","3.19%"
"02/27/2023","169.54","171.88","173.12","169.06","19.28M","-0.50%"
"02/24/2023","170.39","168.64","170.72","167.66","19.79M","-0.96%"
"02/23/2023","172.04","172.00","173.69","169.38","20.02M","0.54%"
"02/22/2023","171.12","171.07","172.76","169.69","20.57M","-0.56%"
"02/21/2023","172.08","174.31","178.17","171.88","32.72M","-0.46%"
"02/17/2023","172.88","170.22","173.18","169.70","24.17M","0.26%"
"02/16/2023","172.44","172.75","175.85","171.79","25.71M","-2.66%"
